,Unnamed: 0,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡,日期
301,0.0,河南省,32,0,0,三门峡,0,0,0,1,0,0,2020-01-25
302,0.0,河南省,32,0,0,新乡,1,0,0,1,0,0,2020-01-25
303,0.0,河南省,32,0,0,平顶山,1,0,0,1,0,0,2020-01-25
304,0.0,河南省,32,0,0,固始县,1,0,0,1,0,0,2020-01-25
305,0.0,福建省,18,0,0,福州,1,0,0,6,0,0,2020-01-25
306,0.0,福建省,18,0,0,厦门,0,0,0,3,0,0,2020-01-25
307,0.0,福建省,18,0,0,泉州,2,0,0,3,0,0,2020-01-25
308,0.0,福建省,18,0,0,漳州,3,0,0,3,0,0,2020-01-25
309,0.0,福建省,18,0,0,宁德,1,0,0,2,0,0,2020-01-25
310,0.0,福建省,18,0,0,三明,1,0,0,1,0,0,2020-01-25
311,0.0,海南省,19,0,0,三亚,4,0,0,6,0,0,2020-01-25
312,0.0,海南省,19,0,0,万宁,3,0,0,5,0,0,2020-01-25
313,0.0,海南省,19,0,0,海口,0,0,0,3,0,0,2020-01-25
314,0.0,海南省,19,0,0,儋州,3,0,0,3,0,0,2020-01-25
315,0.0,海南省,19,0,0,临高县,0,0,0,1,0,0,2020-01-25
316,0.0,海南省,19,0,0,陵水县,1,0,0,1,0,0,2020-01-25
317,0.0,广西壮族自治区,23,0,0,北海,0,0,0,6,0,0,2020-01-25
318,0.0,广西壮族自治区,23,0,0,桂林,4,0,0,6,0,0,2020-01-25
319,0.0,广西壮族自治区,23,0,0,柳州,1,0,0,3,0,0,2020-01-25
320,0.0,广西壮族自治区,23,0,0,河池,2,0,0,3,0,0,2020-01-25
321,0.0,广西壮族自治区,23,0,0,防城港,2,0,0,2,0,0,2020-01-25
322,0.0,广西壮族自治区,23,0,0,梧州,0,0,0,1,0,0,2020-01-25
323,0.0,广西壮族自治区,23,0,0,百色,0,0,0,1,0,0,2020-01-25
324,0.0,广西壮族自治区,23,0,0,玉林,1,0,0,1,0,0,2020-01-25
325,0.0,吉林省,4,0,0,吉林,1,0,0,2,0,0,2020-01-25
326,0.0,吉林省,4,0,0,长春,0,0,0,1,0,0,2020-01-25
327,0.0,吉林省,4,0,0,松原,0,0,0,1,0,0,2020-01-25
328,0.0,重庆市,57,0,0,万州区,7,0,0,10,0,0,2020-01-25
329,0.0,重庆市,57,0,0,长寿区,2,0,0,5,0,0,2020-01-25
330,0.0,重庆市,57,0,0,开州区,2,0,0,4,0,0,2020-01-25
331,0.0,重庆市,57,0,0,巫山县,0,0,0,3,0,0,2020-01-25
332,0.0,重庆市,57,0,0,永川区,1,0,0,3,0,0,2020-01-25
333,0.0,重庆市,57,0,0,九龙坡区,1,0,0,3,0,0,2020-01-25
334,0.0,重庆市,57,0,0,忠县,2,0,0,3,0,0,2020-01-25
335,0.0,重庆市,57,0,0,两江新区,2,0,0,3,0,0,2020-01-25
336,0.0,重庆市,57,0,0,石柱县,3,0,0,3,0,0,2020-01-25
337,0.0,重庆市,57,0,0,垫江县,0,0,0,2,0,0,2020-01-25
338,0.0,重庆市,57,0,0,大渡口区,1,0,0,2,0,0,2020-01-25
